"num_ticket","date_creation","status","reponse_client"
"COSPA-3689","2025-12-05 21:25:11","en attente","Non"
"COSPA-3757","2025-12-06 18:28:56","en attente","Non"
"COSPA-3756","2025-12-06 18:06:52","en attente","Non"
"COSPA-3751","2025-12-06 17:34:51","en attente","Non"
"COSPA-3742","2025-12-06 16:01:29","en attente","Non"
"COSPA-3741","2025-12-06 15:55:50","en attente","Non"
"COSPA-3739","2025-12-06 14:52:50","en attente","Non"
"COSPA-3737","2025-12-06 14:37:51","en attente","Non"
"COSPA-3735","2025-12-06 14:07:23","en cours","Non"
"COSPA-3726","2025-12-06 12:41:53","en attente","Non"
"COSPA-3722","2025-12-06 12:22:26","en cours","Non"
"COSPA-3721","2025-12-06 11:45:52","en attente","Non"
"COSPA-3717","2025-12-06 10:43:07","en cours","Non"
"COSPA-3708","2025-12-06 09:51:55","en attente","Non"
"COSPA-3707","2025-12-06 09:35:49","en attente","Non"
"COSPA-3703","2025-12-06 09:29:13","en cours","Non"
"COSPA-3700","2025-12-06 08:49:53","en cours","Non"
"COSPA-3598","2025-12-05 10:40:50","en cours","Non"
"COSPA-5773","2025-12-23 22:26:33","en cours","Non"
"COSPA-5687","2025-12-23 07:23:23","en cours","Non"
"COSPA-5680","2025-12-22 23:28:56","en attente","Non"
"COSPA-5676","2025-12-22 21:19:04","en attente","Non"
"COSPA-5675","2025-12-22 20:26:03","en attente","Non"
"COSPA-5672","2025-12-22 18:54:23","en attente","Non"
"COSPA-5666","2025-12-22 18:14:32","en attente","Non"
"COSPA-5665","2025-12-22 17:09:05","en attente","Non"
"COSPA-5653","2025-12-22 14:45:43","en attente","Non"
"COSPA-5648","2025-12-22 14:26:33","en cours","Non"
"COSPA-5647","2025-12-22 14:20:06","en cours","Non"
"COSPA-5642","2025-12-22 13:40:32","en cours","Non"
"COSPA-5638","2025-12-22 13:22:50","en cours","Non"
"COSPA-5635","2025-12-22 13:06:25","en cours","Non"
"COSPA-5628","2025-12-22 12:20:36","en cours","Non"
"COSPA-5620","2025-12-22 11:27:02","en attente","Non"
"COSPA-5612","2025-12-22 10:58:46","en attente","Non"
"COSPA-5690","2025-12-23 07:45:11","en cours","Non"
"COSPA-5695","2025-12-23 09:11:30","en cours","Non"
"COSPA-5772","2025-12-23 22:11:23","en attente","Non"
"COSPA-5766","2025-12-23 19:12:49","en cours","Non"
"COSPA-5765","2025-12-23 19:01:25","en attente","Non"
"COSPA-5763","2025-12-23 18:40:02","en attente","Non"
"COSPA-5759","2025-12-23 17:31:22","en attente","Non"
"COSPA-5747","2025-12-23 15:46:02","en attente","Non"
"COSPA-5736","2025-12-23 14:24:24","en attente","Non"
"COSPA-5732","2025-12-23 13:35:07","en cours","Non"
